sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
-1.721567752926346,-0.3321011119852704,-1.3457223087882542,-1.3232755820436295,0
-1.1244922316802146,-1.2276546723949822,0.41450518371958944,0.6517626001110438,2
1.1443947490550834,-0.5559895020876986,0.5848497797687355,0.2567549636801091,1
-1.1244922316802146,0.115675668219586,-1.288940776771872,-1.4549447941872742,0
-0.4080016061848576,-1.2276546723949822,0.1305975236376792,0.12508575153646437,1
0.5473192278089523,-1.2276546723949822,0.6984128438014997,0.9151010243983335,2
-0.28858650193563173,-0.7798778921901258,0.2441605876704434,0.12508575153646437,1
0.5473192278089523,-0.5559895020876986,0.7551943758178815,0.3884241758237541,2
2.21913068729812,-0.1082127218828422,1.323009695981702,1.441777872972913,2
2.21913068729812,1.6828943989365814,1.6636988880799946,1.3101086608292685,2
2.0997155830488934,-0.1082127218828422,1.6069173560636123,1.1784394486856236,2
0.1890739150612737,-0.3321011119852704,0.41450518371958944,0.3884241758237541,1
-1.0050771274309889,-2.3470966229071224,-0.15331013644423103,-0.26992188489447033,1
-0.04975629343717902,-0.7798778921901258,0.18737905565406104,-0.26992188489447033,1
-0.04975629343717902,-1.003766282292554,0.1305975236376792,-0.006583460607180642,1
-1.3633224401786674,0.3395640583220142,-1.2321592447554899,-1.3232755820436295,0
-0.885662023181763,1.6828943989365814,-1.288940776771872,-1.1916063698999846,0
1.0249796448058577,-1.2276546723949822,1.152665099932556,0.7834318122546888,2
0.6667343320581791,0.115675668219586,0.98232050388341,0.7834318122546888,2
-0.5274167104340834,0.7873408385268696,-1.288940776771872,-1.0599371577563397,0
0.5473192278089523,-1.2276546723949822,0.6416313117851178,0.3884241758237541,1
-0.885662023181763,1.6828943989365814,-1.2321592447554899,-1.3232755820436295,0
2.457960895796573,1.6828943989365814,1.4933542920308485,1.0467702365419784,2
-1.0050771274309889,-0.1082127218828422,-1.2321592447554899,-1.3232755820436295,0
-0.4080016061848576,-1.4515430624974104,-0.03974707241146684,-0.26992188489447033,1
0.5473192278089523,-0.3321011119852704,1.0391020358997918,0.7834318122546888,2
0.6667343320581791,-0.7798778921901258,0.8687574398506457,0.9151010243983335,2
-1.0050771274309889,0.7873408385268696,-1.2321592447554899,-1.0599371577563397,0
-0.28858650193563173,-0.5559895020876986,0.6416313117851178,1.0467702365419784,2
-1.0050771274309889,1.0112292286292979,-1.402503840804636,-1.1916063698999846,0
-0.885662023181763,1.4590060088341543,-1.288940776771872,-1.0599371577563397,0
0.30848901931049955,-0.5559895020876986,0.1305975236376792,0.12508575153646437,1
0.30848901931049955,-0.1082127218828422,0.4712867157359713,0.2567549636801091,1
-0.16917139768640485,3.0262247395511506,-1.288940776771872,-1.0599371577563397,0
1.2638098533043105,0.115675668219586,0.925538971867028,1.1784394486856236,2
0.4279041235597264,0.7873408385268696,0.925538971867028,1.441777872972913,2
-0.16917139768640485,-1.003766282292554,-0.15331013644423103,-0.26992188489447033,1
-0.7662469189325362,-0.7798778921901258,0.07381599162129711,0.2567549636801091,1
1.0249796448058577,0.5634524484244414,1.095883567916174,1.705116297260203,2
0.06965881081204787,0.3395640583220142,0.5848497797687355,0.7834318122546888,1
-1.4827375444278943,0.7873408385268696,-1.3457223087882542,-1.1916063698999846,0
1.3832249575535362,0.3395640583220142,0.5280682477523536,0.2567549636801091,1
-0.5274167104340834,1.9067827890390097,-1.402503840804636,-1.0599371577563397,0
1.8608853745504417,-0.5559895020876986,1.323009695981702,0.9151010243983335,2
-1.1244922316802146,-0.1082127218828422,-1.3457223087882542,-1.3232755820436295,0
-0.885662023181763,1.0112292286292979,-1.3457223087882542,-1.1916063698999846,0
-0.04975629343717902,-0.7798778921901258,0.7551943758178815,0.9151010243983335,2
-1.0050771274309889,0.3395640583220142,-1.4592853728210182,-1.3232755820436295,0
-1.60215264867712,-1.6754314525998386,-1.402503840804636,-1.1916063698999846,0
-1.2439073359294415,-0.1082127218828422,-1.3457223087882542,-1.4549447941872742,0
-1.2439073359294415,-0.1082127218828422,-1.3457223087882542,-1.1916063698999846,0
-0.28858650193563173,-0.3321011119852704,-0.09652860442784894,0.12508575153646437,1
0.5473192278089523,0.5634524484244414,1.2662281639653201,1.705116297260203,2
-0.16917139768640485,-0.5559895020876986,0.41450518371958944,0.12508575153646437,1
-0.885662023181763,1.0112292286292979,-1.3457223087882542,-1.3232755820436295,0
0.06965881081204787,-0.1082127218828422,0.7551943758178815,0.7834318122546888,2
-0.16917139768640485,-0.5559895020876986,0.18737905565406104,0.12508575153646437,1
